title,Har Arc accuracy,Har Span Accuracy,MuDeP Span Accuracy,MuDeP Arc Accuracy,MuDeP Head Accuracy (no postp),MuDeP Head accuracy,len
Serenade To A Cuckoo,0.8,0.92,0.439999998,0.800000012,0.807407398,0.807407398,26
It's Been A Long Long Time,0.692307692,0.615384615,0.615384638,0.576923072,0.629120932,0.592032976,27
My Ideal,0.607142857,0.642857143,0.571428597,0.714285731,0.72380954,0.72380954,29
Chucho,0.678571429,0.785714286,0.678571403,0.821428597,0.827380994,0.827380932,29
Bemsha Swing,0.178571429,0.5,0.571428597,0.678571403,0.689285764,0.689285702,29
Idle Moments,0.75862069,0.551724138,0.482758611,0.448275864,0.432702989,0.4660734,30
I Wish I Knew How It Would Feel To Be Free,0.566666667,0.5,0.466666669,0.699999988,0.709375,0.709375,31
When You're Smilin',0.903225806,0.967741935,0.967741907,0.967741907,0.937438965,0.968719482,32
Avalon,0.741935484,0.935483871,0.935483873,0.935483873,0.937438965,0.937438903,32
Backstage Sally,0.321428571,0.714285714,0.5,0.892857134,0.896428608,0.896428547,29
Gary's Notebook,0.3,0.6,0.5,0.533333361,0.580208333,0.547916667,31
Glad To Be Unhappy,0.387096774,0.483870968,0.54838711,0.645161271,0.655913999,0.655913999,32
Hot House,0.903225806,0.903225806,1,1,1,1,32
Hungaria,0.677419355,0.806451613,0.774193525,0.774193525,0.781036192,0.781036192,32
In A Mellow Tone (In A Mellotone),0.566666667,0.733333333,0.600000024,0.766666651,0.741666667,0.773958333,31
I've Found A New Baby v2,0.866666667,0.9,0.533333361,0.666666687,0.644791667,0.677083333,31
Lennie's Pennies,0.64516129,0.677419355,0.709677398,0.741935492,0.749755613,0.749755613,32
Move,0.516129032,0.806451613,0.774193525,0.806451619,0.843597289,0.81231671,32
So Danco Samba,0.633333333,0.766666667,0.699999988,0.766666651,0.80625,0.773958333,31
Someday My Prince Will Come,0.625,0.71875,0.5,0.53125,0.545036761,0.545036761,33
Subconscious Lee,0.903225806,0.903225806,0.967741907,0.967741907,0.968719482,0.968719482,32
Tune Up,0.774193548,0.870967742,0.774193525,0.90322578,0.906158386,0.906158386,32
What Is This Thing Called Love,0.903225806,0.903225806,1,1,1,1,32
Bossa Antigua,0.4375,0.6875,0.65625,0.8125,0.818014717,0.818014717,33
Bright Mississippi,0.71875,0.78125,0.5,0.65625,0.666360283,0.666360283,33
"Cool One, The",0.575757576,0.757575758,0.666666687,0.787878811,0.793939406,0.793939406,34
Fine And Dandy,0.757575758,0.787878788,0.878787875,0.878787875,0.852813862,0.882251089,34
I've Got A Crush On You,0.566666667,0.666666667,0.633333325,0.633333325,0.677083333,0.644791667,31
Jeannie's Song,0.4375,0.59375,0.65625,0.71875,0.727022044,0.727022044,33
Minor Mood,0.4375,0.65625,0.5625,0.6875,0.696691195,0.696691195,33
Nothing Personal,0.8125,0.9375,0.75,0.78125,0.757352956,0.787683805,33
O Grande Amor,0.258064516,0.612903226,0.54838711,0.741935492,0.781036192,0.749755613,32
All Of Me,0.9,0.9,0.766666651,0.899999976,0.903125,0.903125,31
Autumn Leaves,0.787878788,0.878787879,0.909090936,0.969696999,0.970562772,0.970562772,34
Fools Rush In,0.6,0.7,0.266666681,0.666666687,0.709375,0.677083333,31
Boy Next Door,0.515151515,0.666666667,0.545454562,0.787878811,0.764502179,0.793939406,34
I Fall In Love Too Easily,0.466666667,0.7,0.666666687,0.866666675,0.870833333,0.870833333,31
In A Shanty In Old Shanty Town,0.46875,0.71875,0.71875,0.75,0.727022044,0.757352956,33
Rose Room,0.580645161,0.774193548,0.741935492,0.838709652,0.874877807,0.843597289,32
"Shadow Of Your Smile, The",0.424242424,0.575757576,0.575757563,0.878787875,0.882251089,0.882251089,34
Shine,0.709677419,0.741935484,0.774193525,0.90322578,0.906158386,0.906158386,32
Smile,0.545454545,0.606060606,0.787878811,0.848484874,0.852813862,0.852813862,34
Struttin' With Some Barbecue,0.709677419,0.903225806,0.54838711,0.645161271,0.655913999,0.655913999,32
"Weaver Of Dreams, A",0.64516129,0.870967742,0.483870953,0.90322578,0.906158386,0.906158386,32
502 Blues,0.470588235,0.647058824,0.382352948,0.558823526,0.571078411,0.571078411,35
Bill Bailey,0.5,0.75,0.5625,0.65625,0.666360283,0.666360283,33
Blue Lou,0.676470588,0.764705882,0.5,0.617647052,0.656862766,0.628267981,35
Broadway,0.676470588,0.705882353,0.79411763,0.911764681,0.914215707,0.914215707,35
Dearly Beloved,0.65625,0.65625,0.8125,0.875,0.878676478,0.878676478,33
"Good Life, The",0.5625,0.875,0.875,0.90625,0.909007328,0.909007328,33
I Love Paris,0.53125,0.78125,0.84375,0.90625,0.909007328,0.909007328,33
I Love You,0.852941176,0.823529412,0.823529422,0.911764681,0.914215707,0.914215707,35
In A Little Spanish Town,0.5625,0.59375,0.8125,0.875,0.848345567,0.878676478,33
Look For The Silver Lining,0.393939394,0.636363636,0.787878811,0.878787875,0.852813862,0.882251089,34
My Melancholy Baby,0.451612903,0.677419355,0.709677398,0.709677398,0.749755613,0.718475096,32
Nuages,0.705882353,0.764705882,0.676470578,0.70588237,0.714052274,0.714052274,35
Remember,0.375,0.53125,0.78125,0.90625,0.909007328,0.909007328,33
So Nice (Summer Samba),0.78125,0.8125,0.59375,0.78125,0.757352956,0.787683805,33
Stella By Starlight,0.529411765,0.705882353,0.617647052,0.823529422,0.828431352,0.828431352,35
Them There Eyes,0.727272727,0.666666667,0.909090936,0.909090936,0.882251089,0.911688317,34
Time On My Hands,0.548387097,0.64516129,0.709677398,0.741935492,0.718475096,0.718475096,32
Why Do I Love You?,0.75,0.84375,0.84375,0.84375,0.878676478,0.848345567,33
Zingaro (Retrato Em Branco E Preto),0.515151515,0.454545455,0.636363626,0.75757575,0.764502179,0.764502179,34
"Baubles, Bangles And Beads",0.6,0.714285714,0.657142878,0.771428585,0.777606188,0.777606188,36
Beautiful Love,0.4,0.571428571,0.45714286,0.657142878,0.666409281,0.666409281,36
Candy,0.4,0.6,0.657142878,0.885714293,0.861003883,0.888803094,36
Dancing In The Dark,0.545454545,0.545454545,0.424242437,0.545454562,0.587878812,0.558441585,34
Donna Lee,0.363636364,0.727272727,0.818181813,0.818181813,0.823376634,0.823376634,34
"Fine Romance, A",0.333333333,0.636363636,0.363636374,0.666666687,0.646753268,0.676190495,34
Hackensack,0.647058824,0.676470588,0.911764681,0.911764681,0.857026137,0.914215707,35
I Can't Believe...You're In Love...,0.515151515,0.545454545,0.666666687,0.727272749,0.735064951,0.735064951,34
I'll Close My Eyes,0.428571429,0.685714286,0.828571439,0.942857146,0.944401578,0.944401516,36
Jersey Bounce,0.771428571,0.8,0.600000024,0.685714304,0.694208493,0.694208493,36
Just Friends,0.606060606,0.848484848,0.666666687,0.848484874,0.852813862,0.852813862,34
Just In Time,0.515151515,0.727272727,0.454545468,0.727272749,0.735064951,0.735064951,34
Take The A Train,0.696969697,0.848484848,0.848484874,0.848484874,0.852813862,0.852813862,34
This Can't Be Love,0.6,0.8,0.914285719,0.914285719,0.916602366,0.916602305,36
You Stepped Out Of A Dream,0.75,0.84375,0.71875,0.78125,0.787683805,0.787683805,33
Across The Valley From The Alamo,0.916666667,0.916666667,0.5,0.527777791,0.540204656,0.540204656,37
"Beautiful Friendship, A",0.727272727,0.757575758,0.545454562,0.696969688,0.705627723,0.705627723,34
"Best Things In Life Are Free, The",0.527777778,0.722222222,0.638888896,0.666666687,0.675438609,0.675438609,37
Don't Worry 'Bout Me,0.470588235,0.764705882,0.617647052,0.735294104,0.742647059,0.742647059,35
Exactly Like You,0.617647059,0.705882353,0.941176474,0.941176474,0.914215707,0.94281043,35
I've Found A New Baby,0.916666667,0.916666667,0.916666687,0.916666687,0.891812849,0.918859652,37
How High The Moon,0.5,0.694444444,0.666666687,0.777777791,0.78362576,0.78362576,37
Corcovado,0.864864865,0.864864865,0.405405402,0.67567569,0.683991703,0.683991703,38
,0.631348006,0.74210626,0.684344273,0.785215689,0.791250955,0.792271162,26.99333333
