title,Har Arc accuracy,Har Span Accuracy,MuDeP Span Accuracy,MuDeP Arc Accuracy,MuDeP Head Accuracy (no postp),MuDeP Head accuracy,len
Red Clay,0.75,0.666666667,0.583333313,0.75,0.767857189,0.767857124,13
Equinox,1,1,1,1,1,1,12
"Jody Grind, The",1,1,1,1,1,1,12
Mr. P.C.,1,1,1,1,1,1,12
Blues For Wood,0.916666667,0.916666667,0.916666687,0.916666687,0.922619085,0.92261902,13
Interplay,0.636363636,0.909090909,0.909090936,0.909090936,0.916083986,0.916083921,12
Solar,0.642857143,0.714285714,0.5,0.857142866,0.866071429,0.866071429,15
Birk's Works,0.8,0.8,0.933333337,0.933333337,0.937254906,0.937254906,16
Blue In Green,0.333333333,0.666666667,0.600000024,0.666666687,0.686274529,0.686274529,16
Booker's Waltz,0.384615385,0.615384615,0.538461566,0.692307711,0.71282053,0.71282053,14
Contemplation,1,1,0.8125,0.8125,0.822916646,0.822916646,17
Friday The 13th,0.75,0.75,0.8125,0.8125,0.822916646,0.822916646,17
If You Never Come To Me,0.428571429,0.642857143,0.285714298,0.785714269,0.799107143,0.799107143,15
Pent Up House,1,1,0.933333337,0.933333337,0.937254906,0.937254906,16
Sweet Georgia Bright,0.866666667,0.866666667,0.933333337,0.933333337,0.937254906,0.937254906,16
Valse Hot,0.214285714,0.642857143,0.928571403,0.928571403,0.933035714,0.933035714,15
Wayne's Thang,0.733333333,0.866666667,0.733333349,0.866666675,0.874509811,0.874509811,16
We Will Meet Again,0.8125,0.75,0.9375,0.9375,0.940972257,0.940972194,17
Blue Bossa,0.857142857,0.857142857,0.785714269,0.785714269,0.799107143,0.799107143,15
Israel,0.6,0.8,0.800000012,0.600000024,0.633333355,0.633333355,11
Mac The Knife,0.8125,0.8125,0.8125,0.8125,0.822916646,0.822916646,17
Sugar,0.8,0.866666667,0.533333361,0.533333361,0.56078434,0.56078434,16
When The Saints Go Marching In,0.466666667,0.6,0.800000012,0.733333349,0.749019623,0.749019623,16
Work Song,0.6875,0.75,0.875,0.9375,0.940972257,0.940972194,17
Beatrice,0.3125,0.625,0.1875,0.5625,0.527777806,0.527777806,17
Jackie-ing,1,0.823529412,0.588235319,0.647058845,0.665634688,0.665634688,18
Lady Bird,0.928571429,0.928571429,0.928571403,0.928571403,0.933035714,0.933035714,15
On The Trail,0.933333333,0.933333333,1,1,1,1,16
Peace,0.647058824,0.764705882,0.647058845,0.764705896,0.832817344,0.777089813,18
Sunny,0.4375,0.5625,0.4375,0.4375,0.46875,0.46875,17
United,0.882352941,0.823529412,0.882352948,0.882352948,0.888544875,0.888544875,18
Funkallero,0.722222222,0.777777778,0.777777791,0.888888896,0.894444482,0.894444419,19
Yesterdays,0.526315789,0.631578947,0.473684222,0.789473712,0.799498759,0.799498759,20
Afro Blue,0.684210526,0.578947368,0.473684222,0.684210539,0.699248138,0.699248138,20
Blues For Alice,0.55,0.85,0.850000024,0.899999976,0.952272773,0.904545483,21
Brotherhood Of Man,0.444444444,0.777777778,0.944444418,0.944444418,0.894444482,0.94722221,19
Freight Train,0.5,0.8,1,1,1,1,21
Got A Match?,0.5,0.5,0.611111104,0.666666687,0.736111111,0.683333321,19
Half Nelson,0.9375,0.9375,0.9375,0.9375,0.940972257,0.940972194,17
Leaving,0.611111111,0.555555556,0.388888896,0.555555582,0.577777803,0.577777803,19
"Old Country, The",0.315789474,0.526315789,0.421052635,0.684210539,0.649122828,0.699248138,20
Recordame,0.75,0.85,0.449999988,0.949999988,0.952272773,0.95227271,21
Just A Gigolo,0.35,0.55,0.850000024,0.75,0.713636386,0.761363614,21
Little Boat (O Barquinho),0.727272727,0.863636364,0.636363626,0.818181813,0.825757617,0.825757555,23
Armando's Rhumba,0.571428571,0.619047619,0.428571433,0.666666687,0.63561079,0.63561079,22
Summertime,0.65,0.7,0.550000012,0.600000024,0.618181807,0.618181807,21
Why Don't You Do Right?,0.578947368,0.736842105,0.631578922,0.684210539,0.699248138,0.699248138,20
Bluesette,0.666666667,0.833333333,0.708333313,0.916666687,0.919871862,0.9198718,25
Central Park West,0.523809524,0.476190476,0.666666687,0.523809552,0.498964798,0.498964798,22
Footprints,1,1,0.913043499,0.913043499,0.916521694,0.916521757,24
Four On Six,0.619047619,0.761904762,0.666666687,0.761904776,0.772256721,0.772256721,22
Light Blue,0.75,0.875,0.375,0.541666687,0.559294867,0.559294867,25
Paper Doll,0.583333333,0.583333333,0.25,0.583333313,0.559294867,0.599358998,25
Serenity,0.571428571,0.714285714,0.476190478,0.857142866,0.86335407,0.863354007,22
Simone,0.318181818,0.681818182,0.272727281,0.590909064,0.607954545,0.607954545,23
St. Thomas,0.391304348,0.608695652,0.739130437,0.913043499,0.916521694,0.916521757,24
Ballade,0.583333333,0.708333333,0.541666687,0.708333313,0.759615399,0.719551268,25
Minor Strain,0.769230769,0.769230769,0.769230783,0.769230783,0.784615462,0.784615397,14
Song For My Father,0.666666667,0.708333333,0.875,0.916666687,0.919871862,0.9198718,25
Witch Hunt,0.6,0.72,0.75999999,0.800000012,0.807407398,0.807407398,26
If You Ever Should Leave,0.88,0.96,0.879999995,0.920000017,0.922962947,0.922962947,26
Night Dreamer,0.727272727,0.681818182,0.545454562,0.590909064,0.607954545,0.607954545,23
Boo Boo's Birthday,0.230769231,0.346153846,0.346153855,0.538461566,0.554945081,0.554945081,27
Girl Talk,0.481481481,0.703703704,0.666666687,0.814814806,0.821200477,0.821200539,28
